post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: stop saying you&apos;re gonna do something about it if she flirts with guys  because im pretty sure camila and i would whoop your ass if you try touching laura. all of you little girls need to grow the fuck up you&apos;ll learn that being a bitch isn&apos;t that cool.<br>A: thanks julie<3r i love you:)),Yes,7,"""""""whoop your ass, grow the fuck up, being a bitch""""""",No,0,,Yes,8,camila and i would whoop your ass if you try touching laura. all of you little girls need to grow the fuck up you'll learn that being a bitch isn't that cool.
Q: Stop thinking your friends with moises  because if im not friends with him and im 2 years older than your ass  how the hell can a 13 year old girl be friends with him like wtff.<br>A: hahaha!r idk why dont you ask him:),No,0,,Yes,3,your ass how the hell can a 13 year old girl be friends with him like wtff.,No,0,
Q: Thanks for your time to bitch I swear I would ughhhh elizabeth u062a rodriguez<br>A: wtf does ughhhhh meann? your a dumbass.,Yes,6,"""""""bitch, dumbass""""""",No,0,,Yes,7,your a dumbass.
Q: to the pathetic fool that said this &quot;...toney well never go out ur pretty but ur such a bitch on the inside sorry but i dont like you no one does...&quot; i just got 2 things to say. learn how to spell my name and never assume you kno who im gonna go out with.<br>A: baby  i love youuuu<33,No,0,,Yes,2,pathetic fool,No,0,
Q: to the person that said &quot;Why do you follow those dum 8th graders?? Be a leader  not a follower... &quot; SHUT THE FUCK UP  YOUR NOT GONNA DO ANYTHING ABOUT IT. YOUR JUST JELOUS. so do me a favor and shut the hell up. k cool byer <3ILOVEYOULAURAA<3<br>A: lmao i love you too girly<3,No,0,,Yes,3,shut the fuck up your not going to do anything about it.,No,2,SHUT THE FUCK UP
Q: TRASH!!<br>A: FALSE!,Yes,5,trash,No,0,,No,0,
Q: u can be a b**** sometimes and kinda stuck up and 4 some reason ppl like u...like some1 but im not gonna say theyre name(c***)<br>A: g   let me guess.... i dont really give a fuck what you think cuz you dont know me . and im only a bitch to you cuz i either have a problem with you or your just annoyingg!,Yes,1,"""""""u can be a b****, kinda stuck up,""""""",Yes,10,"""""""""""""""u can be a b**** sometimes and kinda stuck up"""""""" ",,,
Q: u know if u wernt such a whore/bitch people wouldnt be haten on u.so stop calling people fat stop telling them there stupid and stop fucking calling me emo and well all be cool<br>A: okay fatass bitchh:)),Yes,8,"""""""u know if u wernt such a whore/bitch people wouldnt be haten on u.so stop calling people fat stop telling them there stupid and stop fucking calling me emo and well all be cool",,,,,,
Q: u r such a conseded biatch u sure every body likes u u luv puting every body down and u tlk about ppl and when some body else dose it u make dem feel bad get a life<br>A: wait im srry how old are you?...r GROW UPPP!r i dont care if ppl like me or not  find something better to doo instead of tlking shit on my formspring why the fuck would i care about what some little pussy sayysss? PATHETICCCCC!,Yes,0,"""""""Q: u r such a conseded biatch u sure every body likes u u luv puting every body down and u tlk about ppl and when some body else dose it u make dem feel bad get a life",,,,,,
Q: u think ur hot shit. your a fucking dumb little jit whore who hooks up with everybody. stop trying to grow up so fast your going to 8th haha<br>A: haha i love how you fake bitches call me a whore when i have had the same boyfriend for 2months and 11days but... then again you know my whole life!,Yes,10,u think ur hot shit. your a fucking dumb little jit whore who hooks up with everybody,Yes,10,"""""""Q: u think ur hot shit. your a fucking dumb little jit whore who hooks up with everybody. stop trying to grow up so fast your going to 8th haha",,,
Q: u told austin that u were never alex&apos;s friend but then u tell alex the opposite whats going on here? and who are u lying to?<br>A: wtf? i never lied... i told austin that alex can be a bitch to sofia and that she gives me death staress thats alll..,Yes,5,Accuses her of lying and wtf,Yes,5,be a bitch,No,0,
Q: umm..everyone needs to stop hatin on my baby girl. or i will personally take care of yall myself. Thanx! ILY Lauraaaa! like the person right below me..we all know u didnt touch tony..cuz why would he want ur fugly self when laura is gorgeous inside &amp;out<3<br>A: aww,No,0,,Yes,3,why would he want ur fugly self when laura is gorgeous inside &out,No,0,
Q: vvv lmfao VIRGIN. not virginian xD<br>A: lmfao yeeeea you would know...,Yes,2,yeeeea you would know...,No,0,,No,0,
Q: was jerryka joking when she was commentin on your profil pic and being an ass to dat girl?<br>A: lol no that bitch was starting beef with me......,No,0,,No,0,,Yes,10,lol no that bitch was starting beef with me......
Q: what the fuck is fucking up<br>A: lol wtf?,No,1,"""""""fuck",,,,,,
Q: whatss up with people hatingg on you jit. you better not be fighting anyone  that&apos;s trashy and stupid lauraaa  but you know i always got your back. and you dont have an ugly body so stop agreeeing with them dumbass. i love you.<br>A: Hah love you bAby gurlll<33,No,1,,Yes,2,trashy and stupid lauraaa,Yes,0,
Q: When are you going to dump tony he way to ugly for you and he acts as if he dont like you or care about you<br>A: you dont know shit,No,0,,,0,,Yes,3,he way to ugly for you
Q: when your with rachel does she ever talk shit bout kasey?<br>A: noo  shes not fake unlike  some people. (cough  cough),No,0,,No,0,,Yes,3,"""""""when your with rachel does she ever talk shit bout kasey?"
Q: Where&apos;s your favorite place to buy clothes?<br>A: idrgaf,Yes,3,1. idrgaf,No,0,,No,0,
Q: who r u trying like tht WOW.. y u tlking to HER like tht.. if yous a guy i whip u rite now shiiiih..<br>A: haha<3,No,0,,Yes,3,who r u trying like tht WOW.. y u tlking to HER like tht.. if yous a guy i whip u rite now shiiiih..,No,0,
Q: WHORE<br>A: tyler <33,Yes,5,WHORE,Yes,7,Whore,Yes,6,WHORE
Q: whos ur bestes friend in the WHOLE WIDE WORLD!!!!<br>A: idk i have a couplee<3,No,0,,Yes,1,I have a couple,No,0,
Q: why are you calling kasey a stupid skank when you dont even know her laura  that is just going to start some shitr<br>A: wtf...yo stfu man  stay out of it..,Yes,5,"""""""Q: why are you calling kasey a stupid skank when you dont even know her laura that is just going to start some shitr",,,,,,
Q: why are you friends with that hoe ass bitch daniela?<br>A: why do you care soo much hater..,Yes,1,why are you friends with that hoe ass bitch daniela,Yes,6,that hoe ass bitch daniela,No,0,
Q: why are you so much cuter then camila?<br>A: stfu im deff nottt..!,No,0,,Yes,3,so much cuter then camila,No,0,
Q: why dont you hate natasha<br>A: why would i ?r r r <3,No,0,,,4,hate natasha,Yes,1,why dont you hate natasha
Q: would u ever give me a blowjob and would u ever drink my sperm becuase i really want you too i wanna have sex with you so much its not even funny how hard i get over u<br>A: thats not weird at all,Yes,7,Would u ever give me a blow job and would u ever drink my  sperm because i really want you too i wanna have sex with you so much its not even funny how hard i ger over u,No,0,,Yes,9,ever give me a blowjob and would u ever drink my sperm
Q: Would u go out with an 8th grader named collin stewart<br>A: nah i dont think so :/,No,0,,Yes,5,Would u go out with an 8th grader named collin stewart,Yes,4,Would u go out with an 8th grader named collin stewart
Q: Wtf i just saw your pics and moises is in them like wtf since when is he friends with you especially since your in 8th grade like back off and stick to your own friends<br>A: lmao no thankyou...,Yes,3,Wtf i just saw your pics and moises is in them like wtf since when is he friends with you especially since your in 8th grade like back off and stick to your own friends,No,0,,No,0,
Q: wtf is up wit ur cheeks?? chipmunk much??<br>A: does it bother you?r hah  ligaf.,Yes,1,wtf is up with your cheeks?,Yes,1,wtf is up wit ur cheeks,Yes,1,wtf
Q: you act way too old for your age laura chill out honestly<br>A: honestly you dont know and dont tell me what to doo foool.,Yes,1,don't tell me what to doo foool,No,0,,No,0,
Q: you all seriously need to stop talking to much crap about laura.r she may flirt alot  but not if that guy has a girlfriend.r and she&apos;s only talking to one guy  not many.r so you people need to stfu and hop offffff.<br>A: Thnx.,Yes,4,"""""""talking to much crap about laura",,,,,,
Q: You are a beautiful girl and i dont think that you shoul do all the things that you do cause you are fucking up your life! Sorry to say but you should to better with your life then just throw it away.....<br>A: and what am i doing thats so bad...,Yes,1,you are fucking up your life,Yes,2,you are fucking up your life,Yes,3,fucking up ur life!
Q: you are a hoe that wears too much makeup(:<br>A: haha!r ya tu sabes<3,No,0,,Yes,1,you are a hoe that wears too much makeup,No,1,you are a hoe that wears too much makeup
Q: you can suck the dick bitch dont try me little girl  dany<br>A: shut the fuck upppp BITCH...r r your pathetic so why dont you stop writing on my formspring and get a lyf cuz you have nothing good to say that i give a fuck abouttt.,Yes,10,"""""""you can suck the dick bitch, dont try me little girl, shut the fuck upppp BITCH, get a lyf cuz you have nothing good to say that i give a fuck abouttt""""""",Yes,10,"""""""1. you can suck the dick bitch dont try me little girl",,,
Q: You have an ugly body for a dancer...<br>A: thanks i know...,No,0,,No,0,,Yes,2,you have an ugly body
Q: you have big feet <3<br>A: haha nah naht really it depends but im usuallly a size 6 1/2 or 7,Yes,1,you have big feet,No,0,,No,0,
Q: You look gay.<br>A: your face looks gay.,Yes,5,you look gay,Yes,1,"""""""Q: You look gay.",,,
Q: you should fade jhocelyn..<br>A: HAH... nah fool were str8,Yes,1,fade,No,0,,No,0,
Q: You&apos;re A Porch Monkey<br>A: and your a niglett:p,Yes,8,"""""""porch monkey",,,,,,
Q: you&apos;re not cool  suck my dick<br>A: srry your too hardcore for me,Yes,5,suck my dick,Yes,8,suck my dick,Yes,2,you&apos;re not cool suck my dick
Q: your amazing and GORGEOUS. i wanna be like you.<3<br>A: haha honey bunn r puleaseee i would do anything to look as good as you<3,Yes,2,<3,No,0,,No,0,
Q: your boyfriend is only ugly ass mexican  like I&apos;ll give you props for going out with a junior  but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road<br>A: yo stfu!r thats your opinion thats he's ugly not mine.r and hes not a pothead so get your shit straight:),Yes,6,"""""""your boyfriend is only ugly ass mexican, but he just flat out ugly""""""",Yes,9,your boyfriend is only ugly ass mexican like I'll give you props for going out with a junior but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road,No,0,
Q: your in 7th grade. stop trying to grow up so fast  its not cute. you&apos;ll grow up at your own pace.<br>A: stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl,Yes,5,"""""""stfu, stop trying, you'll grow up, you don't know me""""""",No,0,,Yes,7,stfu [shut the fuck up]
Q: Your only in middle school  why would going out with 10th &amp;11th high school guys seem like a good idea to you?  or anyone in your grade and age group actually.  it just doesn&apos;t make sense how that would even work anyways..<br>A: im sorry   i cant  please everybodyr :),Yes,1,Your only in middle school why would going out with 10th &11th high school guys seem like a good idea to you?,No,0,,Yes,6,im sorry i cant please everybodyr :)
Q: your so annoying<br>A: ya tu sabes,Yes,5,your so annoying,No,0,,No,0,
Q: YOURR SUCHH A SLUUTTT<br>A: ya tu sabes(;,Yes,3,calls the person a slut. REason i didn't rate it higher was responder played along.,Yes,2,YOURR SUCHH A SLUUTTT,Yes,5,YOURR SUCHH A SLUUTTT
Q: ... i c aussies are starting to get smarter now adayz lmao..<br>A: lmao woooow u hater thats ok cause i have nothing but love to throw around lol,Yes,1,aussies are starting to get smarter now adayz,No,0,,Yes,2,aussies are starting to get smarter now adayz lmao..
Q: are australian gurls fine fresh fierce?<br>A: hmm maybe your thinking of kiwis =P,No,0,,Yes,3,australian gurls fine fresh fierce,No,0,
Q: are u rasis<br>A: why do you asume im asian no im not,No,0,,Yes,8,assume im asian,No,0,
Q: Are you kiwian? Kiwasian?<br>A: yes sir yes i am lmfao chikety china,No,0,,Yes,8,lmfao chikety,No,0,
Q: Are you obsessed with me?r<br>A: Yes i am lol,No,0,,No,0,,Yes,7,"""""""Q: Are you obsessed with me?r"
Q: are you really the only geek??<br>A: yes and u know it check fb u said said u agreed with me =D,No,0,,No,0,,Yes,6,are you really the only geek
Q: Awww oiii .. What was up with the question you asked about &apos;my last girlfriend  and why we broke up&apos; ?? lol .. I was like WTF! lol .. Did you mean girl friend like best friends etc  or did you mean to ask that to a guy lmbo ?? ..<br>A: lmfao for got you were a girl kidn nah cause i spammed everyone with that question and majority i have in my list are guys except u and bunzz soooo sori :(,No,0,,Yes,5,I spammed evereyone the question,No,0,
Q: BANG BANG on ur door at 2am - u go to the door.. who is there? why? what do they want?<br>A: lol see below,No,0,,Yes,9,BANG BANG on ur door at 2am,No,0,
Q: bastard is term of endearment<br>A: yeh i know that lmao,Yes,2,bastard,No,0,,Yes,1,"""""""The word """"""""bastard"""""""" in the way in which it was used may suggest bullying in prior conversations."""""""
Q: biscuits? snags? vegimite?<br>A: ewww no lol bacon eggs and coffee maybe,No,0,,No,0,,,6,biscuits? snags? vegimite?
Q: bugger?<br>A: bugger rooz lmao,No,0,,Yes,1,bugger,No,0,
Q: Can I get on your computer at work?<br>A: yeh u can hope u know what u doing though,No,0,,No,0,,No,0,how many guys have u fucked
Q: CaN i PuT My DiK N Ur VaG?<br>A: yes u can,No,0,,No,0,,Yes,1,can i put my dik in ur vag
Q: Can I Tie You Up?r<br>A: yes u can haha,No,0,,Yes,4,tie you up,No,0,
Q: can u say nice things in spanish or only obscene phrases?<br>A: wow so after our argument you come on here and blash my fs ok,No,0,,Yes,0,"""""""obscene phrases, argument, blash my fs""""""",No,0,
Q: chilling u homo=o. 2500msg jezz u are a nerd lmao=p<br>A: lmao hmm all those lost times who u calling a nerd havent been on here for the longest time wea u been hiding nerd thats right you been geeking lol,No,0,,Yes,1,U are a nerd,Yes,7,chilling u homo=o. 2500msg jezz u are a nerd lmao=p
Q: CONTINUED .. But I&apos;ve never been the &apos;confrontation&apos; type .. And instead  I spear tackled her lol .. Just to get them apart though .. Okay  and because I knew her head would hit the leg of a chair lol .. CONTINUE ..<br>A: lmfao,No,0,,Yes,2,"""""""spear tackled her, because I knew her head would hit the leg of a chair""""""",No,0,
Q: CONTINUED .. She barged in the girl was sitting next to me .. Next thing I knew  the girl was &apos;floating&apos; in the air beside me lmbo .. Emily had grabbed her by the hair and totally pulled her out of her seat lol .. CONTINUE ..<br>A: wat the hell she cant fite for shizzle lol,No,0,,Yes,5,"""""""""""""""Emily had grabbed her by the hair and totally pulled her out of her seat lol""""""""""""""",Yes,2,she can fite for shizzle
Q: Crappers .. I was bout to get offline  but remembered I hadn&apos;t friggin spammed you today lol .. So  I&apos;m dedicating half an hour  maybe an hour lmbo  to just asking you ish XD .. Sound good XD ?? .. Aiights ;) ..<br>A: lol sounds great lol,Yes,3,but remembered I hadn't friggin spammed you today,No,0,,No,0,
Q: damn homie... u know me too well =P<br>A: LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,Yes,4,LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,No,0,,No,0,
Q: did u see my new anon? one more crazy thing  i&apos;m disabling anonymous lol...<br>A: do you feel loved??????,No,0,,Yes,1,do you feel loved??????,No,0,
Q: Did you know I can talk more siht that anyone alive?<br>A: lol NO COMMENT!!,Yes,1,I can talk more siht,No,0,,No,0,
Q: dingo&apos;s breakfast<br>A: dingo ate my baby =/,Yes,8,dingo's breakfast,No,0,,No,0,
Q: do u have friends in low places?<br>A: whats low places?,No,0,,Yes,1,low places,No,0,
Q: do u think before u speak? or just blurt whatever out at the moment u get the opportunity?<br>A: well i say whats on my mind usually its good but has gotten me into trouble alot so i try and stop and think before i say it,No,0,,Yes,1,"""""""think before u speak",,,
Q: do you hate me or love me?<br>A: i love to hate you lmao,No,0,,Yes,3,love to hate you,Yes,2,i love to hate you
Q: Do you have a friend named tom?<br>A: LMFAO no wait yes my lawn mans name is Tom lol,No,0,,No,0,,Yes,2,LMFAO
Q: Do you have some very very interest&apos;n pictures on face book?**winks**<br>A: lmao ahahaha hmm what kinda interesting are we talking gabe lol no im decent and i only take decent lmao sorry *wink* lmao,No,0,,Yes,3,Do you have some very very interest'n pictures on face book?,No,0,
Q: Do you honestly think you can talk more siht than I can?<br>A: notalking shit your good at i like to base the facts :P,No,0,,Yes,6,"""""""derogatory vulgar language - """"""""notalking shit your good at"""""""" and """"""""you can talk more siht than I can""""""""""""""",Yes,1,more shit
Q: Dont you hatee qirLs ?<br>A: aww no i dont cause i am one o_0,No,0,,No,0,,No,4,Dont you hatee qirLs ?
Q: DU U eVA hAd eRotic thoughTs abouT me? DEScIBE ThEm<br>A: yes i have and seen as this is a g rated site i will not maybe in a week :),Yes,5,erotic thoughts and describe them,No,0,,No,0,April Kontostathis
Q: elle n&apos;est pas chinois. vous chienne<br>A: thanks for having my back trebla! lmfao...,No,0,,Yes,4,elle n'est pas chinois. vous chienne,No,0,
Q: EVENTUAL WILL YOU DRIFT TO FB AND AWAY FROM FS? FAKE SHIT TO FAKE BULLSHIT???r LOL HAHAHHAHAHHAHAHAHHAHHAHAHHAHAH<br>A: ill drift away when you dig a whole and burie yourself in it deal :D:D,No,0,,No,0,,Yes,5,"""""""""""""""ill drift away when you dig a whole and burie yourself in it"""""""""""""""
Q: Ewww .. You would make out with Dan Carter :P .. Gosh  I had a mad crush on Brent Webb lol .. Besides Dan Carter  is there any other sports person you&apos;d like to make out with lol ..<br>A: NOT EWWW try sexy yumm hes all that and more :P vin diesel also mine yum yum yumok dont laugh but Sonny bill is mad sexyyyyy,No,0,,Yes,2,"""""""""""""""ewww.. you would..""""""""""""""",No,0,
Q: Ewww you like J Williams :P .. He annoys me :P .. I went to school with Emily :)  and Ma-V-Elle use to come and perform at Weymouth all the time for us because of Emily XD .. Pretty talented family those Williams siblings eh ?? ..<br>A: omg he was the lil ish i used to hang out with in otara lmfao ewww lol yeh i love them all :( such a talented family they are that means you should know emily?? young divas?? n e ways let me know i was going to knock her out when smashproof performd at vibe ill tell u laters remind me lol,No,0,,Yes,2,eww you like j williams :p,No,0,
Q: fav breakkie<br>A: i dont eat brekkie =((,Yes,6,fav breakkie,No,0,,No,0,
Q: fine... ur the only geek. happy now?<br>A: =) yes i am thank you,No,0,,Yes,7,fine... ur the only geek. happy now?,Yes,1,geek
Q: for petes sake  comes from the bible for saint peter  one of jesus&apos; apostle...its like cursing saying  for jesus christ! or god damn!<br>A: your,Yes,8,for petes sake comes from the bible for saint peter one of jesus' apostle...its like cursing saying for jesus christ! or god damn!,No,0,,No,0,
Q: Girly! .. Pack your bags  that&apos;s us .. We&apos;re off to Party in the USA  with this guy --> http://www.youtube.com/watch?v=fMznLUCffLY&amp;feature=related .. Lmbo .. You coming XD ?? ..<br>A: Oh My Leee lmao ima be there,No,0,,Yes,1,Girly!,No,0,
Q: h i jsut spammed her...lol<br>A: who did you spam,No,0,,No,0,,Yes,4,spammed her
Q: ha va ee.....hawaii.....is it consider pigeon talk?<br>A: yeh i was going to say tonga lmao ok,No,0,,No,0,,Yes,3,is it considered pigeon talk?
Q: haha i love your name one here<br>A: thank you :),No,0,kinda stuck up,No,0,,No,0,
Q: Has anyone ever told you that you are more full of siht than a Christmas turkey?<br>A: yes you just then :) thank you gabe,Yes,1,Has anyone ever told you that you are more full of siht than a Christmas turkey?,Yes,1,you are more full of siht than a Christmas turkey?,No,0,
Q: hater is bck in my page lol<br>A: slap n tickle comment??,No,0,,Yes,2,hater; slap n tickle comment,Yes,5,hater is bck in my page
Q: have u ever looked at someone and felt so angry u wantd to _______________????? what?<br>A: Kick him in the balls yes,No,0,,No,0,,Yes,3,Kick him in the balls yes
Q: Have you ever heard of a rug-muncher? I was just wonder.lol<br>A: can you tell me what it is i herd one thing it might be but not sure and ill post on yours lol,Yes,2,rug-muncher,No,0,,Yes,1,Have you ever heard of a rug-muncher?
Q: have you ever watched jersey shore on MTV?<br>A: gmac you dork u know i loveeeeee that show and u asking me if i seen it i dont get you sometimes lol,No,0,,No,0,,Yes,1,you dork
Q: Have your ever suspected your cousin or sibling of foul play?how did you deal with it?<br>A: lol everyday im still trying to figure that bit out,No,0,,No,0,lol indicates that the person does not take the question seriously,No,0,
Q: heeeeeeeeeeeyyyyyya grly..whacha doin...call me lataz. theres sum asians at da club tonite...wanna hook up<br>A: hey dude not much whats your number lol azns at the club im there cause im azn right????,No,0,,No,0,,Yes,7,azns at the club im there cause im azn right
Q: Hello my No Homo Lover :D .. Chu doings :) ?? ..<br>A: hey my no homo mother sister aunty uncle brother lol im playing msn games at the moment then ima get up an prolly wait for u to get on if ou dont take your time that is :D miis u muj sorri for bailing batt died and then i was to tired to get up and charge it so i fell asleep :) wea emz u,No,0,,No,0,,Yes,4,No Homo Lover
Q: hey baby how u been havent see u for a long time =]<br>A: wat up long time have i even seen you before,Yes,6,It appears like person A is being stalked by Q,No,0,,No,0,
Q: hey sugar tits! wanna meet at night? i&apos;ll be racing my evo..metallic blue with white stripe on top...i got tinted front windows too. look for me!<br>A: wash ur mouth out with soap and approach me properly,Yes,5,sugar tits!,Yes,1,Hey sugar tits,Yes,4,hey sugar tits! wanna meet at night?
Q: hey u fucking jerk  i fucking love you u2665<br>A: u2665 :),Yes,3,u fucking jerk,No,0,,No,0,
Q: hi..missin u<br>A: hii miss u to,No,0,,Yes,10,hi..missin u,No,0,
Q: HOLD UP LET ME CALL YOU RIGHT NOW CAUSE YOU NOT ANSWERING MY QUESTION<br>A: lmao u geek yeah yeah wateva,No,0,,Yes,5,let me call you right now because you not answering the question,No,0,
Q: HOLY MOO! HOLY! lmao<br>A: aww no u got in trouble lol,No,0,,No,0,,Yes,4,HOLY MOO! HOLY! lmao
Q: hope u kno were not getting no pets for the house jaja=p ull jus killt them...<br>A: lmao i dont kill them u fool they just die or ppl send them places without my knowledge lol,No,0,,No,0,,Yes,3,p ull jus killt them...u fool
Q: hope u were dreaming bout me =p<br>A: i was dreaming i cant member wat about i think the flow of a river i have no idea but yes lmao ( catch my drift) lmao holy wata dork lmao,No,0,,Yes,3,wata dork,No,0,
Q: How big of a flirt are you?<br>A: not a flirt at all lmao shut up,Yes,1,shut up,No,0,,No,0,
Q: how big r ur boobs<br>A: PERV!! lol,Yes,1,"""""""perv, boobs""""""",No,0,kinda stuck up,No,0,
Q: how do australians sound like? people or non people? lol<br>A: lmao aliens from outta space lmao u should no that lmao,No,0,,Yes,4,how do australians sound like? people or non people? lol,No,0,
Q: How Do You feeL About OraL sex ? ( No disrespect To no one )<br>A: love it always good before and after the real deal,No,0,,Yes,1,How Do You feeL About OraL sex ?,No,0,
Q: How do you feel if I walk into the bathroom when you are in the middle of using the facilities?<br>A: lmfao such a homo id tell u to get out slam the door lmao,No,0,,No,0,,Yes,6,lmfao such a homo id tell u to get out slam the door lmao
Q: How hard is it to get voted as your best stalker? **takes out pen and paper**<br>A: well applenut as you like to call yourself your at the top of the list so far so ur algud :D:D,Yes,2,How hard is it to get voted as your best stalker?,No,0,,No,0,
Q: How many people have you slept with?<br>A: omg babe u dork no comment,Yes,4,how any people have you slept with,Yes,2,asks about sexual partners,No,0,
Q: How many siblings do you have?<br>A: i have 6 sisters and 7 brothers and only 1 blood sister,No,0,,Yes,1,siblings,No,0,
Q: how often do you go out?<br>A: not as often as i should maybe ask your self these uestions :P,Yes,5,maybe ask yourself these questions,No,0,,No,0,
Q: http://health.yahoo.net/experts/eatthis/cook-your-way-flat-belly<br>A: lmao thats a lie i hope its not though lol,No,0,,No,0,,Yes,1,Content of link might indicate a jab at someone.
Q: http://ihatejade.com/?id=ez9ad69s1w8lm2kkolsjl7do379u7d<br>A: who knows who jade is should i look hmm,No,0,,Yes,2,http://ihatejade.com/?id=ez9ad69s1w8lm2kkolsjl7do379u7d,No,0,
Q: http://www.youtube.com/watch?v=OzCVn7cHQPU<br>A: lmao SPAM!! not with SPAM!! lol,No,0,,No,0,,Yes,4,Iamo with spam not with spam
Q: I bet if I were more sexier than Mr.flinstOne you and I would have changed phone numbers huh?<br>A: so you think mistas sexy as well huh,No,0,,Yes,1,I bet if I were more sexier than Mr.flinstOne you and I would have changed phone numbers huh,No,0,
Q: I bring my itouch as back up<br>A: lmao u dork,Yes,1,dork,No,0,,No,0,
Q: i didnt workout again today..im just gonna redo the whole weekr<br>A: omg you better not be moody for real cause ill like slap you through the screen lol,Yes,1,"""""""""""""""slap you through the screen""""""""""""""",Yes,6,ill like slap you through the screen,No,1,ill like slap you through the screen
Q: i dnt want ur wack contacts=p and i aint spaming no one i aint that  uch of a geeko.<br>A: lmfao shup fool i saw u right on top of me lol homo and spam u egg,No,0,,Yes,8,homo and spam u egg,Yes,6,"""""""Q: i dnt want ur wack contacts=p and i aint spaming no one i aint that uch of a geeko."
Q: I don&apos;t carew how beautiful you are you are spam&apos;d.hehehe<br>A: well thank you once again for the spamledge <<shays word its been trade marked so dont try and steal it =D,No,0,,Yes,5,You are spamming.,No,0,
Q: I has fallen for Mr. Flinstone<br>A: aww so sad coz he dont like u :( he dates gurls with a personality and an identity hmm hope u didnt hurt urself we u fell :D,No,0,,Yes,3,he dates gurls with a personality and an identity,Yes,1,he dont like u
Q: I hate you.r I see that already.r You look better than me so I have to hate you.<br>A: awwww brandon u hurt my feelings now u hate me =( lmao well u think your sexxiia than i but thank you =) i think its your turn to spamledge me cause im all outa stuff....r r sigh....r r i guess you took my title away from me for now are we ready for round 2 of our spamledge??,No,0,,Yes,3,I hate you,No,0,
Q: i hope bunz is ok<br>A: i know im going to see her wtf thats right,Yes,2,wtf thats right,No,0,,No,0,
Q: I know  I don&apos;t know what the heck I just didded either lol .. I&apos;m just here to spam the blipp out of your inbox  like I&apos;ll do with Sir Spectacular soon :) .. SoOo  Chu doing *winks*  .. Yeah  I just said that as if I was Joey from Friends lol ..<br>A: lmao hes hott lmao yeh i know wat u gone say &quot; girly you think err one hot&quot; lol well not really just a few ppl and u know who yes mikes one o_0 lmao anyway homo lover se u in a bit,Yes,1,"""""""spam the blipp, homo lover""""""",No,0,,No,0,
Q: i know exactly where u are...google map...satellite it<br>A: i know u do like u knew the memorial park u clown lol,Yes,2,u clown,No,0,,No,0,
Q: i mean your ummm<br>A: my um wat choose ur words carefully =/,No,0,,No,0,,Yes,4,ummm choose ur words carefully =/
Q: i meant this.....http://www.youtube.com/watch?v=qMrw6MeFu3A<br>A: whats that why send that to me??,No,0,,,3,http://www.youtube.com/watch?v=qMrw6MeFu3A,No,0,
Q: i reckon i can beat u in swiming....<br>A: i rekon u cant,Yes,1,i reckon you can't,No,0,,No,0,
Q: I say hit the clubs XD .. And  I&apos;ll answer your questions tomorrow .. And what do you mean make sure I ain&apos;t blocked you :O .. How do I check that :O:O .. I ain&apos;t blocked you lol .. You&apos;re my only Kiwi link on here  I need you lmbo ..<br>A: yay u admitted u need me lol i know fs is gay and im tird jump on seems lik u da only one dat loves me today :),No,0,,No,0,,Yes,6,fs is gay
Q: i talked to her this mornin at about 730am<br>A: wait boo boo tell me whats going on with her please,Yes,4,boo hoo,No,0,,No,0,
Q: i think there is traffic on the tracks...<br>A: omg u know last month stoopid ppl were jumping infront of the trains omg that was annoying im like just run themover lol,No,0,,No,0,,Yes,5,last month stoopid ppl were jumping infront of the trains omg that was annoying
Q: i wish they all can be australian girls...<br>A: wish who wea what fill me in,Yes,1,all can be australian girls...,Yes,2,wish they could all be australian girls,No,0,
Q: I&apos;m going to poke your eyeballs out .. Do you want to know why ?? .. Too bad  I&apos;m not telling you :P ..<br>A: LMAO u need anger management classes my lady :D i tell u that err night u go to pick up a shoe throw rocks and pots and pans LMAO *hides* u violent lol,Yes,6,I'm going to poke your eyeballs out,No,0,,Yes,6,poke your eyeballs out
Q: I&apos;m picking out lead from my @zz because I asked you for your phone number any suggestions?<br>A: ahahahaha well lets see what mista has to say about that one lol,No,0,,Yes,2,I'm picking out lead from my @zz because I asked you for your phone number,No,0,
Q: I&apos;ve got a whopping great penis  can I put it inside of you?<br>A: wheres my bodyguards when i need them lol,Yes,7,I've got a whopping great penis can I put it inside of you?,,8,I've got a whopping great penis can I put it inside of you?,No,0,
Q: id get teh hang of it in a few days i reckon.....i did it in ha va ee<br>A: where is that sounds sooo fimiliar,No,0,,Yes,7,id get teh hang of it in a few day,No,0,
Q: idk why i asked that last question anon lol<br>A: cause ur a geek lol,No,0,,Yes,1,cause ur a geek,Yes,1,you're a geek
Q: If barbie is so popular why do you have to buy all of her friends?(A taste of your own medicine! >:P)<br>A: hmm let me go ask barbie ill be right back lol,Yes,1,why do you have to buy all of her friends,No,0,,No,0,
Q: If I hate you would that make you sad?<br>A: itll make me sad but the worlds full of hate so i should be used to it right?,No,0,,Yes,0,I hate you would that make you sad?,No,0,
